Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,HBP,BB/K,BABIP,SF
1,Wayne,Bruce,10.0,22.0,8.0,0.25,0.727,0.977,0.25,2.0,2.0,0.0,0.0,0.0,4.0,16.0,12.0,6.0,2.0,2.0,1.0,0.0
10,Rabbit,Roger,11.0,25.0,14.0,0.571,0.76,1.474,0.714,8.0,7.0,0.0,1.0,0.0,10.0,17.0,11.0,4.0,0.0,2.75,0.8,0.0
11,Gibbs,Jimmy,12.0,31.0,25.0,0.64,0.71,1.47,0.76,16.0,13.0,3.0,0.0,0.0,14.0,19.0,6.0,3.0,0.0,2.0,0.727,0.0
12,White,Walter,12.0,30.0,11.0,0.091,0.667,0.758,0.091,1.0,1.0,0.0,0.0,0.0,3.0,14.0,17.0,8.0,2.0,2.125,0.333,0.0
2,West,Joe,12.0,31.0,21.0,0.714,0.806,1.854,1.048,15.0,11.0,2.0,1.0,1.0,13.0,16.0,10.0,5.0,0.0,2.0,0.933,0.0
3,Gump,Forrest,11.0,27.0,14.0,0.214,0.593,0.807,0.214,3.0,3.0,0.0,0.0,0.0,5.0,9.0,12.0,6.0,1.0,2.0,0.375,0.0
4,Poppins,Mary,11.0,28.0,13.0,0.077,0.571,0.648,0.077,1.0,1.0,0.0,0.0,0.0,3.0,10.0,15.0,11.0,0.0,1.364,0.5,0.0
5,York,Kyle,11.0,27.0,20.0,0.35,0.519,0.919,0.4,7.0,6.0,1.0,0.0,0.0,7.0,10.0,7.0,9.0,0.0,0.778,0.636,0.0
6,Yount,Frank,10.0,25.0,19.0,0.526,0.64,1.377,0.737,10.0,7.0,2.0,1.0,0.0,10.0,11.0,5.0,6.0,1.0,0.833,0.769,0.0
7,Hoover,Herbert,10.0,24.0,18.0,0.444,0.583,1.361,0.778,8.0,4.0,2.0,2.0,0.0,11.0,9.0,6.0,6.0,0.0,1.0,0.667,0.0
8,Adams,Sam,11.0,25.0,17.0,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,13.0,1.0,0.538,0.0,0.0
9,James,Lebron,10.0,20.0,7.0,0.143,0.7,0.843,0.143,1.0,1.0,0.0,0.0,0.0,3.0,7.0,11.0,5.0,2.0,2.2,0.5,0.0
